127.0.0.1 - - [19/Apr/2021:00:33:10 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Apr/2021:00:33:14 +0900] "GET /mvcProjectTest/shop_create.jsp HTTP/1.1" 200 1343
0:0:0:0:0:0:0:1 - - [19/Apr/2021:00:33:14 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Apr/2021:00:39:08 +0900] "GET /mvcProjectTest/sall HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [19/Apr/2021:00:39:10 +0900] "GET /mvcProjectTest/call?code=code0002&name=kt%20wiz%20cat&price=10000&content=%EC%9D%B4%EA%B2%83%EC%9D%B4%20kt%EB%8B%A4!!&pstock=5 HTTP/1.1" 200 3895
0:0:0:0:0:0:0:1 - - [19/Apr/2021:00:39:10 +0900] "GET /mvcProjectTest/call?code=code0002&name=kt%20wiz%20cat&price=10000&content=%EC%9D%B4%EA%B2%83%EC%9D%B4%20kt%EB%8B%A4!!&pstock=5 HTTP/1.1" 200 3895
0:0:0:0:0:0:0:1 - - [19/Apr/2021:00:39:10 +0900] "GET /mvcProjectTest/call?code=code0002&name=kt%20wiz%20cat&price=10000&content=%EC%9D%B4%EA%B2%83%EC%9D%B4%20kt%EB%8B%A4!!&pstock=5 HTTP/1.1" 200 3895
0:0:0:0:0:0:0:1 - - [19/Apr/2021:00:39:10 +0900] "GET /mvcProjectTest/call?code=code0002&name=kt%20wiz%20cat&price=10000&content=%EC%9D%B4%EA%B2%83%EC%9D%B4%20kt%EB%8B%A4!!&pstock=5 HTTP/1.1" 200 3895
0:0:0:0:0:0:0:1 - - [19/Apr/2021:00:39:10 +0900] "GET /mvcProjectTest/call?code=code0002&name=kt%20wiz%20cat&price=10000&content=%EC%9D%B4%EA%B2%83%EC%9D%B4%20kt%EB%8B%A4!!&pstock=5 HTTP/1.1" 200 3895
0:0:0:0:0:0:0:1 - - [19/Apr/2021:00:39:10 +0900] "GET /mvcProjectTest/call?code=code0002&name=kt%20wiz%20cat&price=10000&content=%EC%9D%B4%EA%B2%83%EC%9D%B4%20kt%EB%8B%A4!!&pstock=5 HTTP/1.1" 200 3895
0:0:0:0:0:0:0:1 - - [19/Apr/2021:00:39:10 +0900] "GET /mvcProjectTest/call?code=code0002&name=kt%20wiz%20cat&price=10000&content=%EC%9D%B4%EA%B2%83%EC%9D%B4%20kt%EB%8B%A4!!&pstock=5 HTTP/1.1" 200 3895
0:0:0:0:0:0:0:1 - - [19/Apr/2021:00:39:10 +0900] "GET /mvcProjectTest/call?code=code0002&name=kt%20wiz%20cat&price=10000&content=%EC%9D%B4%EA%B2%83%EC%9D%B4%20kt%EB%8B%A4!!&pstock=5 HTTP/1.1" 200 3895
0:0:0:0:0:0:0:1 - - [19/Apr/2021:00:39:10 +0900] "GET /mvcProjectTest/call?code=code0002&name=kt%20wiz%20cat&price=10000&content=%EC%9D%B4%EA%B2%83%EC%9D%B4%20kt%EB%8B%A4!!&pstock=5 HTTP/1.1" 200 3895
0:0:0:0:0:0:0:1 - - [19/Apr/2021:00:39:10 +0900] "GET /mvcProjectTest/call?code=code0002&name=kt%20wiz%20cat&price=10000&content=%EC%9D%B4%EA%B2%83%EC%9D%B4%20kt%EB%8B%A4!!&pstock=5 HTTP/1.1" 200 3895
0:0:0:0:0:0:0:1 - - [19/Apr/2021:00:39:11 +0900] "GET /mvcProjectTest/call?code=code0002&name=kt%20wiz%20cat&price=10000&content=%EC%9D%B4%EA%B2%83%EC%9D%B4%20kt%EB%8B%A4!!&pstock=5 HTTP/1.1" 200 3895
0:0:0:0:0:0:0:1 - - [19/Apr/2021:00:39:11 +0900] "GET /mvcProjectTest/call?code=code0002&name=kt%20wiz%20cat&price=10000&content=%EC%9D%B4%EA%B2%83%EC%9D%B4%20kt%EB%8B%A4!!&pstock=5 HTTP/1.1" 200 3895
0:0:0:0:0:0:0:1 - - [19/Apr/2021:00:39:11 +0900] "GET /mvcProjectTest/call?code=code0002&name=kt%20wiz%20cat&price=10000&content=%EC%9D%B4%EA%B2%83%EC%9D%B4%20kt%EB%8B%A4!!&pstock=5 HTTP/1.1" 200 3895
0:0:0:0:0:0:0:1 - - [19/Apr/2021:00:39:11 +0900] "GET /mvcProjectTest/call?code=code0002&name=kt%20wiz%20cat&price=10000&content=%EC%9D%B4%EA%B2%83%EC%9D%B4%20kt%EB%8B%A4!!&pstock=5 HTTP/1.1" 200 3895
0:0:0:0:0:0:0:1 - - [19/Apr/2021:00:39:11 +0900] "GET /mvcProjectTest/call?code=code0002&name=kt%20wiz%20cat&price=10000&content=%EC%9D%B4%EA%B2%83%EC%9D%B4%20kt%EB%8B%A4!!&pstock=5 HTTP/1.1" 200 3895
